mavpackettype,time_boot_ms,port,chan1_raw,chan2_raw,chan3_raw,chan4_raw,chan5_raw,chan6_raw,chan7_raw,chan8_raw,rssi,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature,chan1_scaled,chan2_scaled,chan3_scaled,chan4_scaled,chan5_scaled,chan6_scaled,chan7_scaled,chan8_scaled,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RAW_IMU,172951,0,172,992,1149,1232,172,172,172,1811,255,172951146,1924,-1932,25223,-123,428,162,-63,69,-312,0,-1040,1340,1167,32,1648,-1,-1,-1,-1,3,369603640,-1220327568,0,65535,65535,128,2547,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,172951,1,172,992,1149,1232,172,172,172,1811,255,172951146,1924,-1932,25223,-123,428,162,-63,69,-312,0,-1040,1116,1238,15,1686,-1,-1,-1,-1,3,369603640,-1220327568,0,65535,65535,128,2547,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,172951,1,172,992,1149,1232,172,172,172,1811,255,172961007,1924,-1932,25223,-123,428,162,-63,69,-312,0,-1040,1116,1238,15,1686,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,172971,0,172,992,1148,1260,172,172,172,1811,255,172961007,1924,-1932,25223,-123,428,162,-63,69,-312,0,-1040,1116,1238,15,1686,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,172971,0,172,992,1148,1260,172,172,172,1811,255,172971146,-11126,16475,10825,-180,190,56,-46,72,-314,0,-976,1116,1238,15,1686,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,172971,1,172,992,1148,1260,172,172,172,1811,255,172971146,-11126,16475,10825,-180,190,56,-46,72,-314,0,-976,1098,1087,24,1748,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,172991,0,172,992,1148,1294,172,172,172,1811,255,172971146,-11126,16475,10825,-180,190,56,-46,72,-314,0,-976,1098,1087,24,1748,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,172991,0,172,992,1148,1294,172,172,172,1811,255,172991141,-2120,3920,22089,-668,54,-781,-39,75,-321,0,-912,1098,1087,24,1748,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,172991,1,172,992,1148,1294,172,172,172,1811,255,172991141,-2120,3920,22089,-668,54,-781,-39,75,-321,0,-912,1304,1105,29,1796,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
HEARTBEAT,172991,1,172,992,1148,1294,172,172,172,1811,255,172991141,-2120,3920,22089,-668,54,-781,-39,75,-321,0,-912,1304,1105,29,1796,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,173011,0,172,992,1148,1297,172,172,172,251,255,172991141,-2120,3920,22089,-668,54,-781,-39,75,-321,0,-912,1304,1105,29,1796,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,173011,0,172,992,1148,1297,172,172,172,251,255,173011141,5466,2473,10118,-920,-190,-989,-41,67,-336,0,-928,1304,1105,29,1796,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,173011,1,172,992,1148,1297,172,172,172,251,255,173011141,5466,2473,10118,-920,-190,-989,-41,67,-336,0,-928,1189,1273,24,1843,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,173031,0,172,992,1147,1325,172,172,172,1811,255,173011141,5466,2473,10118,-920,-190,-989,-41,67,-336,0,-928,1189,1273,24,1843,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,173031,0,172,992,1147,1325,172,172,172,1811,255,173031147,-2252,3373,23815,130,558,-1457,-41,72,-340,0,-928,1189,1273,24,1843,-1,-1,-1,-1,3,369603651,-1220327570,0,65535,65535,122,1823,255,0,0,0,0,0,0,10,0,192,0,3,3
