mavpackettype,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature
RAW_IMU,4011211,34,188,16615,-66,57,27,79,156,418,0,2352
RAW_IMU,4032208,-10,195,16536,-84,54,32,84,156,420,0,2368
RAW_IMU,4053208,-18,146,16635,-86,44,10,76,158,423,0,2304
RAW_IMU,4074209,-41,77,16681,-72,54,36,87,163,415,0,2352
RAW_IMU,4095209,-6,197,16545,-71,54,40,71,165,415,0,2320
RAW_IMU,4116209,211,121,16560,-70,59,27,75,159,426,0,2288
RAW_IMU,4137210,-120,258,16612,-62,54,36,82,161,420,0,2288
RAW_IMU,4158208,47,106,16595,-79,51,18,91,164,424,0,2240
RAW_IMU,4179209,55,35,16681,-59,46,46,88,150,426,0,2304
RAW_IMU,4200209,-42,249,16623,-80,67,15,86,155,407,0,2352
RAW_IMU,4221209,-40,87,16626,-74,75,21,84,165,425,0,2320
RAW_IMU,4242375,-69,-27,16664,-73,50,67,76,151,415,0,2304
RAW_IMU,4263209,337,990,16801,-74,63,49,78,152,417,0,2352
RAW_IMU,4284209,-22,-24,16767,37,-28,-10,87,153,423,0,2352
RAW_IMU,4305210,-44,1109,16714,-56,68,86,80,159,417,0,2304
RAW_IMU,4326210,-229,-456,16787,-170,144,-70,82,158,420,0,2320
RAW_IMU,4347208,2,-585,16818,-16,-7,43,86,159,417,0,2368
RAW_IMU,4368209,-18,687,16459,-55,55,137,79,153,418,0,2288
RAW_IMU,4389209,375,242,16878,-139,107,-88,79,151,425,0,2384
RAW_IMU,4410210,-232,-98,16663,-55,4,33,80,159,426,0,2352
RAW_IMU,4431210,-335,584,16776,-89,96,34,84,153,425,0,2304
RAW_IMU,4452208,-184,-84,16602,-97,46,-22,88,159,424,0,2368
RAW_IMU,4473209,101,195,16759,-71,60,95,78,159,421,0,2304
RAW_IMU,4494209,60,338,16700,-71,52,7,80,155,414,0,2352
RAW_IMU,4515209,15,164,16625,-101,60,25,82,158,418,0,2352
RAW_IMU,4536210,-38,-7,16652,-55,48,12,87,156,418,0,2320
RAW_IMU,4557208,-240,964,16234,-63,70,105,91,159,426,0,2432
RAW_IMU,4578209,-7,309,16618,20,-44,38,87,165,413,0,2240
RAW_IMU,4599209,-310,-300,17119,-108,117,188,75,167,419,0,2352
RAW_IMU,4620209,-82,775,16943,-38,22,21,75,157,424,0,2352
RAW_IMU,4641210,230,243,16498,-151,130,-97,84,161,435,0,2320
RAW_IMU,4662208,131,-171,16532,-54,32,53,73,150,431,0,2304
RAW_IMU,4683209,-104,498,16612,-109,96,-22,82,144,425,0,2416
RAW_IMU,4704209,-2,-256,16363,-120,73,-6,69,158,430,0,2352
RAW_IMU,4725210,-60,312,16563,-21,2,46,75,152,426,0,2352
RAW_IMU,4746210,110,115,16724,-117,79,24,76,156,430,0,2352
RAW_IMU,4767209,341,164,16593,-93,57,-7,73,147,426,0,2208
RAW_IMU,4788209,431,70,16497,-110,82,33,75,167,434,0,2384
RAW_IMU,4809210,-547,-228,16468,-104,76,-5,79,163,435,0,2320
RAW_IMU,4830210,-1371,-432,16672,-84,114,63,86,155,429,0,2288
RAW_IMU,4851209,166,192,16712,4,-20,125,74,148,432,0,2320
RAW_IMU,4872209,361,686,16489,-121,94,-14,76,148,428,0,2352
RAW_IMU,4893209,-18,-17,16818,-140,140,9,78,152,414,0,2352
RAW_IMU,4914209,-413,495,16549,-148,132,43,84,153,423,0,2352
RAW_IMU,4935209,35,99,16880,-144,102,72,86,152,426,0,2352
RAW_IMU,4956209,210,455,16716,-240,214,213,76,148,425,0,2384
RAW_IMU,4977209,-34,299,16610,-271,217,345,75,155,431,0,2320
RAW_IMU,4998209,233,1176,16825,-216,357,646,73,147,419,0,2320
RAW_IMU,5019210,816,-71,16489,-242,542,775,69,168,425,0,2320
RAW_IMU,5040210,-658,-891,18164,-619,731,462,78,152,407,0,2320
RAW_IMU,5061208,-1812,-606,17812,-1413,490,-88,78,157,409,0,2432
RAW_IMU,5082209,-1194,-1025,17013,-1911,110,-597,69,156,415,0,2320
RAW_IMU,5103209,789,-1201,15970,-1496,293,-552,79,156,415,0,2320
RAW_IMU,5124210,-138,-389,17221,-455,433,-11,67,162,424,0,2352
RAW_IMU,5145210,-1524,-536,18120,-80,-309,551,82,156,413,0,2304
RAW_IMU,5166209,-2238,-1522,18399,495,-1337,485,80,159,414,0,2352
RAW_IMU,5187209,-1434,465,19128,161,-2210,249,79,151,410,0,2288
RAW_IMU,5208210,135,1014,18863,-787,-2428,321,74,146,415,0,2416
RAW_IMU,5229210,1378,690,18585,-1594,-2063,605,62,155,421,0,2432
RAW_IMU,5250210,1756,666,18539,-2571,-1586,890,66,148,420,0,2320
RAW_IMU,5271209,2433,1232,17397,-4060,-759,1113,57,145,417,0,2288
RAW_IMU,5292209,1375,-2046,17559,-4798,140,997,58,144,425,0,2320
RAW_IMU,5313210,1335,-2476,16971,-4707,402,659,58,124,425,0,2432
RAW_IMU,5334210,1194,-2721,16732,-4443,336,570,53,124,430,0,2288
