mavpackettype,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature
RAW_IMU,2533041211,-194,387,16628,-78,47,34,187,-101,382,0,3792
RAW_IMU,2533062211,-134,188,16585,-65,43,33,189,-93,374,0,3776
RAW_IMU,2533083210,-183,381,16561,-86,48,28,190,-94,385,0,3648
RAW_IMU,2533104211,-249,307,16624,-70,57,32,181,-93,376,0,3712
RAW_IMU,2533125208,-65,333,16628,-64,47,35,195,-92,372,0,3776
RAW_IMU,2533146209,-204,330,16640,-74,39,25,194,-90,383,0,3760
RAW_IMU,2533167209,-241,296,16673,-61,45,19,186,-88,386,0,3664
RAW_IMU,2533188208,-208,369,16602,-60,53,35,190,-96,385,0,3696
RAW_IMU,2533209209,-125,350,16595,-74,48,22,183,-102,381,0,3760
RAW_IMU,2533230209,-220,330,16651,-63,43,18,191,-93,381,0,3760
RAW_IMU,2533251210,-156,344,16601,-86,37,24,181,-95,383,0,3760
RAW_IMU,2533272210,-212,309,16588,-61,44,15,190,-94,390,0,3776
RAW_IMU,2533293210,-144,368,16632,-69,45,39,182,-96,387,0,3776
RAW_IMU,2533314210,-193,274,16651,-77,47,23,187,-101,387,0,3728
RAW_IMU,2533335210,-143,313,16636,-68,54,46,186,-100,391,0,3776
RAW_IMU,2533356210,-243,316,16647,-64,55,16,191,-102,383,0,3728
RAW_IMU,2533377210,-152,325,16587,-58,53,36,193,-92,385,0,3696
RAW_IMU,2533398209,-135,319,16622,-70,44,22,185,-96,377,0,3776
RAW_IMU,2533419209,-189,278,16666,-71,53,37,182,-99,380,0,3760
RAW_IMU,2533440210,-212,261,16669,-87,59,26,182,-87,375,0,3728
RAW_IMU,2533461210,-192,348,16599,-79,46,36,191,-93,383,0,3648
RAW_IMU,2533482211,-187,371,16626,-82,31,25,202,-88,393,0,3664
RAW_IMU,2533503209,-116,342,16502,-73,56,24,191,-93,396,0,3728
RAW_IMU,2533524209,-109,298,16584,-84,49,37,182,-92,390,0,3664
RAW_IMU,2533545209,-216,281,16539,-75,48,20,183,-95,379,0,3728
RAW_IMU,2533566210,-186,281,16648,-69,40,25,187,-94,382,0,3792
RAW_IMU,2533587212,-202,342,16598,-51,44,29,191,-93,383,0,3728
RAW_IMU,2533608211,-151,314,16569,-72,48,18,194,-102,396,0,3728
RAW_IMU,2533629211,-234,318,16643,-72,61,16,189,-88,383,0,3776
