mavpackettype,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature
RAW_IMU,610302209,188,16159,-299,-174,23,-12,10,249,105,0,3488
RAW_IMU,610323210,153,16123,-183,-136,73,-10,16,250,94,0,3520
RAW_IMU,610344211,127,16086,-84,-36,76,5,18,251,100,0,3520
RAW_IMU,610365210,160,16107,-65,20,84,2,13,256,98,0,3552
RAW_IMU,610386210,85,16139,-172,67,34,15,13,261,95,0,3488
RAW_IMU,610407210,255,16352,-284,140,34,24,10,247,90,0,3520
RAW_IMU,610428210,229,16317,-313,96,50,18,16,250,91,0,3488
RAW_IMU,610449211,202,16182,-300,101,57,12,6,250,99,0,3584
RAW_IMU,610470210,48,16209,-255,114,41,1,13,254,105,0,3520
RAW_IMU,610491211,139,16368,-455,93,31,36,15,244,95,0,3488
RAW_IMU,610512211,303,16308,-496,-1,47,-4,18,251,95,0,3536
RAW_IMU,610533211,325,16339,-378,-65,50,3,10,254,93,0,3536
RAW_IMU,610554211,180,16276,-348,-113,15,0,13,251,100,0,3584
RAW_IMU,610575208,168,16139,-270,-37,31,6,11,245,99,0,3536
RAW_IMU,610596209,256,16214,-289,12,95,14,10,256,95,0,3440
RAW_IMU,610617209,197,16023,-175,75,126,-4,18,251,100,0,3488
RAW_IMU,610638210,34,16250,-192,144,124,24,10,254,100,0,3584
RAW_IMU,610659210,142,16281,-565,116,53,22,7,249,100,0,3520
RAW_IMU,610680211,290,16376,-679,25,29,17,9,250,99,0,3488
RAW_IMU,610701211,350,16364,-481,-153,2,1,3,243,89,0,3488
RAW_IMU,610722211,77,16337,-321,-231,8,-18,15,251,85,0,3600
RAW_IMU,610743211,-57,16202,-309,-233,15,-8,14,255,96,0,3600
RAW_IMU,610764208,126,16247,-250,-202,-5,-11,13,254,98,0,3552
RAW_IMU,610785209,415,16222,-215,-191,-16,-2,14,250,91,0,3440
RAW_IMU,610806209,196,16051,-195,-121,-2,0,16,255,94,0,3488
RAW_IMU,610827210,57,16035,-88,12,25,18,6,248,96,0,3520
RAW_IMU,610848375,176,16120,-156,143,50,39,11,248,96,0,3488
RAW_IMU,610869209,300,16086,-177,246,122,50,9,253,96,0,3472
RAW_IMU,610890210,151,16330,-412,248,154,37,14,238,94,0,3440
RAW_IMU,610911210,99,16342,-507,194,101,28,18,251,100,0,3584
RAW_IMU,610932211,124,16289,-552,100,22,18,14,243,94,0,3552
RAW_IMU,610953209,244,16389,-730,-51,-21,6,15,256,100,0,3472
RAW_IMU,610974209,75,16323,-577,-149,-20,-7,18,249,88,0,3536
RAW_IMU,610995210,213,16333,-439,-239,-11,-16,13,254,90,0,3440
