mavpackettype,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature
RAW_IMU,245028209,-16517,-492,-271,-100,46,36,472,-111,80,0,2992
RAW_IMU,245049212,-16510,-469,-300,-92,59,25,474,-123,80,0,3024
RAW_IMU,245070209,-16532,-484,-251,-76,42,15,482,-116,98,0,2992
RAW_IMU,245091209,-16564,-401,-251,-101,58,24,470,-110,89,0,3008
RAW_IMU,245112210,-16500,-435,-227,-87,58,37,468,-117,77,0,3008
RAW_IMU,245133214,-16475,-414,-297,-97,47,25,470,-112,89,0,3024
RAW_IMU,245154211,-16548,-433,-220,-93,55,27,478,-107,89,0,3008
RAW_IMU,245175208,-16515,-379,-266,-97,57,26,473,-112,91,0,3008
RAW_IMU,245196209,-16529,-463,-245,-75,40,22,478,-107,91,0,2992
RAW_IMU,245217209,-16512,-424,-216,-97,54,28,474,-121,83,0,3008
RAW_IMU,245238210,-16489,-315,-263,-150,58,-1,482,-125,90,0,3072
RAW_IMU,245259210,-16506,-353,-242,-197,67,30,477,-121,93,0,2912
RAW_IMU,245280210,-16445,-301,-213,-293,52,14,484,-119,94,0,2992
RAW_IMU,245301211,-16602,-364,-157,-456,55,1,482,-111,93,0,3008
RAW_IMU,245322211,-16429,-371,-278,-595,56,20,481,-115,96,0,3008
RAW_IMU,245343211,-16609,-159,-292,-773,14,6,472,-108,90,0,3072
RAW_IMU,245364211,-16363,-2,-86,-1015,24,30,481,-112,89,0,2960
RAW_IMU,245385211,-16364,-219,-275,-1357,55,1,480,-108,93,0,3088
RAW_IMU,245406211,-16722,-148,-773,-1539,50,8,487,-116,83,0,3024
RAW_IMU,245427211,-16579,-500,-880,-1564,-11,-5,480,-118,78,0,2992
RAW_IMU,245448208,-16631,-685,-57,-1460,-72,-17,467,-111,83,0,3008
RAW_IMU,245469209,-16230,-533,485,-1243,43,7,473,-107,84,0,2896
RAW_IMU,245490209,-16646,-975,-24,-1118,127,-11,477,-121,80,0,3136
RAW_IMU,245511210,-16455,-554,-338,-1011,-31,27,476,-117,77,0,3008
RAW_IMU,245532211,-16180,-496,-643,-940,118,4,477,-113,80,0,3008
RAW_IMU,245553210,-16648,-528,-685,-603,-50,40,485,-113,73,0,3008
RAW_IMU,245574210,-16269,-404,-62,-195,24,26,477,-113,78,0,2944
RAW_IMU,245595210,-16683,-497,241,137,22,38,487,-106,73,0,2944
RAW_IMU,245616210,-16326,-474,-22,145,105,9,481,-115,74,0,3008
RAW_IMU,245637211,-16691,-591,-435,36,95,9,482,-111,73,0,3072
RAW_IMU,245658210,-16448,-450,-620,12,50,29,472,-106,76,0,3088
RAW_IMU,245679211,-16598,-336,-329,75,50,42,484,-124,79,0,2912
RAW_IMU,245700211,-16451,-309,-79,108,37,26,487,-108,73,0,3056
RAW_IMU,245721211,-16601,-423,-133,80,108,13,472,-101,83,0,3024
RAW_IMU,245742211,-16513,-370,-350,-14,46,19,486,-112,82,0,3136
RAW_IMU,245763208,-16558,-452,-405,-149,74,14,484,-112,74,0,2912
RAW_IMU,245784209,-16579,-555,-312,-129,34,39,470,-117,82,0,3072
RAW_IMU,245805209,-16447,-420,-101,-66,38,26,484,-119,69,0,3008
RAW_IMU,245826210,-16438,-381,-182,-49,33,33,480,-113,85,0,3088
RAW_IMU,245847210,-16478,-401,-266,-67,78,31,477,-123,71,0,3072
RAW_IMU,245868211,-16595,-447,-315,-78,38,28,489,-115,72,0,3088
RAW_IMU,245889211,-16475,-534,-220,-34,31,22,473,-115,77,0,2960
RAW_IMU,245910211,-16589,-436,-161,-32,48,38,482,-113,73,0,3088
RAW_IMU,245931211,-16483,-427,-205,-62,46,16,477,-113,76,0,3008
RAW_IMU,245952208,-16532,-341,-316,-56,45,35,477,-121,80,0,3008
RAW_IMU,245973209,-16517,-461,-262,-73,49,42,477,-108,76,0,2960
RAW_IMU,245994209,-16510,-465,-190,-51,39,40,482,-116,66,0,3088
RAW_IMU,246015210,-16466,-439,-217,-53,67,29,476,-117,74,0,3088
RAW_IMU,246036375,-16643,-423,-285,-38,60,17,473,-110,82,0,3072
RAW_IMU,246057209,-16455,-485,-264,-31,70,21,474,-116,76,0,3024
RAW_IMU,246078209,-16478,-450,-287,22,43,43,477,-111,78,0,2912
RAW_IMU,246099210,-16472,-523,-280,23,60,18,482,-104,78,0,3072
RAW_IMU,246120210,-16497,-313,-170,40,71,24,484,-119,74,0,3008
RAW_IMU,284193210,-16509,-495,-326,-66,56,33,477,-113,83,0,3056
RAW_IMU,284214375,-16517,-415,-255,-55,50,24,480,-113,93,0,3072
RAW_IMU,284235209,-16495,-388,-290,-57,56,28,480,-111,85,0,2960
RAW_IMU,284256210,-16512,-433,-228,-71,51,32,470,-105,96,0,3072
RAW_IMU,284277210,-16504,-492,-370,-54,62,20,482,-108,88,0,3024
RAW_IMU,284298211,-16527,-451,-247,-78,60,36,481,-105,87,0,3024
RAW_IMU,284319209,-16527,-409,-249,-76,51,34,480,-111,83,0,3008
RAW_IMU,284340209,-16523,-384,-267,-50,49,38,474,-108,80,0,3136
RAW_IMU,284361210,-16456,-412,-197,-60,47,5,481,-115,87,0,2912
