mavpackettype,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature
RAW_IMU,575022211,438,16160,-332,-49,42,17,322,294,47,0,3536
RAW_IMU,575043211,331,16294,-401,-53,26,5,315,288,53,0,3488
RAW_IMU,575064211,445,16186,-333,-66,7,10,303,282,55,0,3440
RAW_IMU,575085211,429,16185,-336,-40,-32,14,310,288,63,0,3488
RAW_IMU,575106208,468,16197,-427,-48,-20,7,319,282,60,0,3472
RAW_IMU,575127209,453,16206,-422,-61,-17,17,310,290,58,0,3440
RAW_IMU,575148209,542,16246,-482,-60,15,-2,310,280,61,0,3488
RAW_IMU,575169210,352,16225,-441,-78,11,4,315,283,51,0,3424
RAW_IMU,575190210,512,16266,-407,-45,-25,9,314,282,57,0,3488
RAW_IMU,575211209,483,16284,-359,-49,-1,-4,300,285,63,0,3472
RAW_IMU,575232209,396,16242,-471,-68,35,0,313,280,53,0,3424
RAW_IMU,575253209,345,16192,-362,-27,32,7,310,285,51,0,3440
RAW_IMU,575274209,440,16179,-385,-48,13,11,306,291,52,0,3440
RAW_IMU,575295210,497,16164,-369,-52,-12,5,314,279,65,0,3472
RAW_IMU,575316209,475,16214,-433,-23,-22,16,307,283,58,0,3376
RAW_IMU,575337209,537,16258,-528,-58,-11,-3,315,295,58,0,3440
RAW_IMU,575358209,462,16298,-373,-60,-19,-6,318,280,49,0,3408
RAW_IMU,575379210,566,16128,-357,-37,1,-9,310,288,76,0,3488
RAW_IMU,575400209,472,16219,-383,-49,31,9,315,280,58,0,3488
RAW_IMU,575421209,492,16308,-369,-46,51,16,301,286,57,0,3472
RAW_IMU,575442209,477,16143,-380,-42,20,1,306,286,50,0,3488
RAW_IMU,575463210,441,16257,-410,-32,17,-4,310,290,58,0,3376
RAW_IMU,575484210,508,16189,-527,-40,42,4,311,291,60,0,3440
RAW_IMU,575505210,506,16225,-394,-48,66,2,317,286,52,0,3488
RAW_IMU,575526211,470,16266,-364,-73,69,-19,310,283,61,0,3440
RAW_IMU,575547208,407,16136,-393,-72,48,20,309,282,57,0,3440
RAW_IMU,575568209,476,16148,-324,-57,44,18,309,284,57,0,3440
RAW_IMU,575589209,566,16112,-402,-27,58,11,318,288,68,0,3488
RAW_IMU,575610209,441,16234,-452,-26,46,3,313,288,53,0,3408
RAW_IMU,575631210,420,16287,-492,-54,53,-4,326,285,56,0,3488
RAW_IMU,575652210,507,16263,-380,-63,50,8,314,279,60,0,3488
RAW_IMU,575673210,470,16190,-308,-71,62,13,309,291,55,0,3440
RAW_IMU,575694211,352,16186,-308,-41,30,-8,317,284,62,0,3488
RAW_IMU,575715209,397,16243,-466,-44,29,23,314,286,55,0,3408
RAW_IMU,575736209,462,16205,-402,-39,37,19,315,288,63,0,3408
