mavpackettype,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature
RAW_IMU,300210914,48,241,16649,-75,43,8,339,62,375,0,3760
RAW_IMU,300231916,63,236,16616,-66,62,9,332,54,386,0,3728
RAW_IMU,300252915,1,268,16657,-54,35,15,328,55,380,0,3760
RAW_IMU,300273915,31,273,16598,-81,42,27,340,54,383,0,3664
RAW_IMU,300294915,183,249,16603,-68,49,25,334,53,387,0,3776
RAW_IMU,300315912,32,199,16561,-68,52,13,336,55,380,0,3728
RAW_IMU,300336918,69,230,16648,-75,43,20,334,55,387,0,3776
RAW_IMU,300357916,98,130,16658,-69,44,22,332,49,388,0,3696
RAW_IMU,300378913,-7,223,16668,-64,67,54,322,52,381,0,3728
RAW_IMU,300399913,1,294,16660,-68,44,23,335,54,371,0,3792
RAW_IMU,300420914,1,252,16661,-66,57,8,324,47,379,0,3728
RAW_IMU,300441912,24,179,16649,-48,43,32,334,53,387,0,3728
RAW_IMU,300462913,-34,228,16656,-53,45,58,326,55,375,0,3600
RAW_IMU,300483913,-51,268,16622,-55,60,38,327,44,381,0,3776
RAW_IMU,300504914,112,321,16613,-73,46,26,336,46,387,0,3760
RAW_IMU,300525914,22,233,16651,-67,54,27,339,46,387,0,3712
RAW_IMU,300546914,75,174,16616,-77,50,42,339,46,372,0,3728
RAW_IMU,300567914,8,215,16648,-72,62,8,336,55,387,0,3776
RAW_IMU,300588915,16,287,16632,-58,40,-5,335,49,381,0,3760
RAW_IMU,300609915,67,201,16646,-90,43,0,341,41,382,0,3696
RAW_IMU,300630915,82,182,16629,-64,57,-10,337,59,379,0,3776
RAW_IMU,300651912,15,177,16651,-79,64,7,330,49,386,0,3712
RAW_IMU,300672913,21,258,16664,-81,44,9,328,46,385,0,3664
RAW_IMU,300693913,31,264,16720,-76,50,25,328,50,390,0,3776
RAW_IMU,300714914,-9,173,16557,-84,50,24,331,53,377,0,3776
RAW_IMU,300735915,-16,131,16535,-62,37,39,331,55,387,0,3776
RAW_IMU,300756914,92,212,16652,-58,39,35,332,61,381,0,3728
RAW_IMU,300777914,60,269,16616,-81,49,34,328,48,385,0,3664
RAW_IMU,300798914,87,233,16618,-71,44,47,331,41,387,0,3776
RAW_IMU,300819914,130,256,16699,-80,39,40,328,53,385,0,3712
RAW_IMU,300840915,92,229,16656,-84,47,22,324,59,383,0,3776
RAW_IMU,300861914,76,270,16613,-62,35,17,323,50,387,0,3696
RAW_IMU,300882915,34,212,16631,-73,54,25,332,47,381,0,3760
RAW_IMU,300903915,52,235,16636,-71,53,39,330,52,379,0,3776
RAW_IMU,300924915,-22,193,16597,-78,49,57,334,53,380,0,3792
RAW_IMU,300945915,78,253,16611,-66,38,26,328,55,380,0,3728
RAW_IMU,300966912,67,252,16630,-73,35,26,328,48,385,0,3712
RAW_IMU,300987913,67,124,16626,-71,53,15,341,50,382,0,3840
RAW_IMU,301008913,56,201,16629,-68,49,30,328,48,394,0,3728
RAW_IMU,301029914,69,231,16653,-66,38,30,327,52,381,0,3728
RAW_IMU,301050914,59,287,16600,-66,59,21,324,54,381,0,3776
RAW_IMU,301071913,95,288,16594,-73,42,0,334,48,377,0,3776
RAW_IMU,301092914,88,241,16684,-66,53,-2,340,42,386,0,3664
RAW_IMU,301113914,71,239,16623,-63,51,1,332,56,379,0,3776
RAW_IMU,301134915,13,234,16643,-60,50,22,337,54,381,0,3776
RAW_IMU,301155913,-14,204,16682,-70,55,24,320,50,380,0,3696
RAW_IMU,301176913,120,199,16620,-74,52,8,332,44,379,0,3728
RAW_IMU,301197914,65,149,16645,-82,45,13,331,48,382,0,3760
RAW_IMU,301218914,153,150,16621,-59,48,-55,343,52,379,0,3728
RAW_IMU,301240079,-42,267,16673,-56,45,-54,326,50,380,0,3712
RAW_IMU,301260913,62,296,16641,-61,56,-51,336,53,392,0,3728
RAW_IMU,301281913,63,298,16709,-71,44,-32,336,53,377,0,3696
RAW_IMU,1619451913,-39,311,16618,-69,57,21,327,52,386,0,3424
RAW_IMU,1619472914,121,222,16622,-72,41,24,335,59,374,0,3376
RAW_IMU,1619493916,106,253,16623,-72,54,25,335,47,381,0,3408
RAW_IMU,1619514915,102,297,16668,-70,42,28,324,47,386,0,3424
RAW_IMU,1619535915,36,276,16646,-67,54,23,332,56,383,0,3408
RAW_IMU,1619556915,-71,270,16669,-65,49,38,341,53,370,0,3376
RAW_IMU,1619577912,-11,300,16629,-63,47,23,326,50,380,0,3376
RAW_IMU,1619598918,135,219,16548,-54,44,35,348,59,381,0,3408
RAW_IMU,1619619916,156,154,16636,-72,51,0,331,50,380,0,3360
RAW_IMU,1619640913,15,247,16616,-68,61,20,328,53,382,0,3472
RAW_IMU,1619661913,-1,326,16589,-68,39,45,339,43,370,0,3408
RAW_IMU,1619682914,-17,264,16636,-53,57,44,336,46,375,0,3312
RAW_IMU,1619703912,49,281,16672,-75,46,33,328,50,380,0,3488
RAW_IMU,1619724913,68,264,16593,-59,45,17,336,50,380,0,3408
RAW_IMU,1619745913,109,187,16604,-67,58,39,324,52,369,0,3424
RAW_IMU,1619766914,103,172,16631,-75,63,19,331,55,390,0,3440
RAW_IMU,1619787914,-20,247,16597,-60,49,28,331,46,375,0,3296
RAW_IMU,1619808914,14,299,16629,-61,49,28,332,47,379,0,3424
RAW_IMU,1619829914,72,289,16665,-72,57,18,336,48,380,0,3376
RAW_IMU,1619850915,51,82,16572,-58,41,14,337,44,381,0,3408
RAW_IMU,1619871915,62,234,16593,-55,34,20,332,47,391,0,3440
RAW_IMU,1619892915,124,232,16542,-66,46,35,330,56,383,0,3360
RAW_IMU,1619913912,36,181,16660,-53,74,14,318,55,390,0,3360
RAW_IMU,1619934913,-23,337,16563,-45,57,32,334,55,382,0,3408
RAW_IMU,1619955913,74,205,16581,-78,49,33,332,54,379,0,3440
RAW_IMU,1619976914,139,169,16606,-62,41,21,328,50,380,0,3312
RAW_IMU,1619997915,126,248,16628,-71,54,20,339,48,385,0,3472
RAW_IMU,1620018914,55,206,16628,-76,53,18,326,48,380,0,3424
RAW_IMU,1620039914,-9,249,16609,-57,45,43,336,58,382,0,3408
RAW_IMU,1620060915,68,272,16699,-55,60,30,344,55,385,0,3440
RAW_IMU,1620081915,-18,309,16614,-73,49,19,334,53,387,0,3376
RAW_IMU,1620102916,74,222,16611,-70,67,22,335,52,379,0,3440
RAW_IMU,1620123915,124,203,16694,-64,59,34,330,49,381,0,3424
RAW_IMU,1620144915,2,278,16573,-69,44,33,334,43,375,0,3440
RAW_IMU,1620165912,-32,276,16593,-82,42,38,327,56,381,0,3408
RAW_IMU,1620186913,51,223,16665,-62,53,14,337,47,381,0,3376
RAW_IMU,1620207915,145,268,16618,-69,56,28,332,47,376,0,3440
RAW_IMU,1620228915,146,253,16629,-61,54,21,337,49,381,0,3440
RAW_IMU,1620249912,102,204,16605,-70,56,43,332,47,383,0,3440
RAW_IMU,1620270913,87,226,16606,-85,55,28,335,47,383,0,3408
RAW_IMU,1620291913,56,230,16608,-68,49,42,336,58,387,0,3408
RAW_IMU,1620312912,-25,91,16660,-60,51,28,332,56,374,0,3472
RAW_IMU,1620333913,176,312,16598,-60,42,36,334,41,385,0,3472
RAW_IMU,1620354913,-10,90,16651,-52,57,58,334,50,380,0,3440
RAW_IMU,1620375913,91,226,16644,-71,51,57,331,43,375,0,3424
RAW_IMU,1620396914,160,351,16614,-67,42,51,334,53,365,0,3424
RAW_IMU,1620417912,5,259,16669,-73,39,5,326,46,370,0,3376
RAW_IMU,1620438913,19,166,16649,-65,45,-19,328,58,387,0,3472
RAW_IMU,1620459913,82,227,16620,-54,55,-26,335,52,386,0,3408
RAW_IMU,1620480913,113,207,16611,-71,37,3,327,42,371,0,3408
RAW_IMU,1620502079,108,233,16647,-52,46,29,332,54,383,0,3488
RAW_IMU,1620522913,-14,214,16542,-52,50,61,336,55,377,0,3376
RAW_IMU,1620543913,60,288,16660,-74,36,49,335,54,371,0,3424
RAW_IMU,1620564914,18,231,16646,-72,51,50,331,43,377,0,3440
RAW_IMU,1620585914,58,233,16637,-71,53,28,330,30,369,0,3408
RAW_IMU,1620606912,147,269,16581,-55,40,15,327,52,376,0,3440
RAW_IMU,1620627913,93,273,16574,-74,52,3,331,53,387,0,3424
RAW_IMU,1620648913,51,222,16589,-61,56,32,330,54,379,0,3440
RAW_IMU,1620669914,89,269,16606,-64,51,47,336,58,382,0,3472
RAW_IMU,1620690914,40,288,16671,-69,49,34,330,54,381,0,3360
RAW_IMU,1620711912,95,232,16623,-67,41,10,328,48,387,0,3424
RAW_IMU,1620732913,107,143,16686,-63,55,-1,330,54,381,0,3440
RAW_IMU,1620753913,20,286,16600,-63,49,-2,334,48,382,0,3408
RAW_IMU,1620774913,-34,299,16622,-75,48,0,332,52,381,0,3472
RAW_IMU,1620795914,102,155,16597,-67,40,-16,334,53,390,0,3344
RAW_IMU,1620816912,75,215,16626,-63,55,-19,331,50,380,0,3408
RAW_IMU,1620837913,2,276,16580,-64,36,-18,334,55,387,0,3440
RAW_IMU,1620858913,38,171,16532,-55,52,-29,330,47,381,0,3376
RAW_IMU,1620879913,70,201,16610,-69,54,-43,334,48,377,0,3440
RAW_IMU,1620900914,46,121,16611,-59,56,-99,328,53,390,0,3408
RAW_IMU,1620921912,48,216,16573,-71,61,-97,323,53,375,0,3440
RAW_IMU,1620942913,62,291,16610,-58,45,-160,347,43,390,0,3424
RAW_IMU,1620963913,85,153,16654,-49,58,-182,334,58,380,0,3408
RAW_IMU,1620984914,21,190,16603,-60,52,-227,330,44,371,0,3408
RAW_IMU,1621005914,28,35,16698,-64,37,-307,331,48,385,0,3376
RAW_IMU,1621026913,89,6,16598,-65,43,-417,326,46,397,0,3440
RAW_IMU,1621047913,55,143,16595,-74,45,-556,328,46,385,0,3408
RAW_IMU,1621068914,-171,422,16662,-60,40,-651,337,44,381,0,3472
RAW_IMU,1621089914,21,268,16604,-83,24,-665,334,46,385,0,3376
RAW_IMU,1621110913,121,162,16650,-89,19,-747,332,52,383,0,3472
RAW_IMU,1621131913,120,76,16629,-78,25,-821,330,54,383,0,3408
RAW_IMU,1621152914,88,94,16560,-85,46,-916,328,43,372,0,3440
RAW_IMU,1621173914,147,100,16638,-88,62,-1025,340,42,386,0,3424
