mavpackettype,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature
RAW_IMU,139020210,-81,-621,16722,-35,62,26,397,224,278,0,3136
RAW_IMU,139041208,-70,-562,16662,-96,63,18,404,225,267,0,3088
RAW_IMU,139062210,-162,-734,16658,-89,71,7,401,213,264,0,3088
RAW_IMU,139083214,-178,-683,16610,-42,57,7,399,213,262,0,2960
RAW_IMU,139104208,-60,-638,16677,-45,52,12,394,220,262,0,3088
RAW_IMU,139125211,11,-629,16759,-65,65,12,387,224,268,0,3008
RAW_IMU,139146209,-56,-665,16710,-116,56,18,388,217,274,0,3120
RAW_IMU,139167211,-169,-780,16571,-64,53,17,401,225,269,0,3088
RAW_IMU,139188208,-155,-692,16593,-15,60,15,397,216,266,0,3072
RAW_IMU,139209210,-70,-530,16648,-74,53,21,405,221,278,0,3120
RAW_IMU,139230208,-92,-670,16650,-109,70,22,396,217,269,0,3088
RAW_IMU,139251210,-111,-668,16605,-54,60,21,404,215,262,0,3072
RAW_IMU,139272208,67,-458,16628,-33,52,21,404,213,267,0,3088
RAW_IMU,139293209,-96,-571,16592,-102,63,28,400,207,261,0,2960
RAW_IMU,139314211,-363,-879,16685,-120,59,13,397,216,266,0,3120
RAW_IMU,139335209,-344,-774,16617,10,52,35,388,217,262,0,3088
RAW_IMU,139356211,-104,-278,16623,-5,46,27,399,217,277,0,3072
RAW_IMU,139377209,-5,-697,16737,-130,70,24,395,216,273,0,3120
RAW_IMU,139398208,4,-879,16653,-89,76,11,400,216,266,0,3008
RAW_IMU,139419210,-88,-654,16635,-10,46,22,405,221,268,0,3008
RAW_IMU,139440208,-165,-409,16610,-21,54,6,396,217,264,0,3024
RAW_IMU,139461210,-291,-572,16626,-112,67,16,396,220,277,0,3024
RAW_IMU,139482209,-123,-743,16606,-82,59,19,394,215,272,0,3120
RAW_IMU,139503208,-58,-640,16673,-20,32,19,394,222,267,0,3008
RAW_IMU,139524210,101,-503,16639,-70,58,21,403,216,275,0,3024
RAW_IMU,139545208,32,-804,16716,-101,80,6,388,210,274,0,3088
RAW_IMU,139566210,-204,-788,16642,-15,67,18,396,215,274,0,3008
RAW_IMU,139587211,-201,-422,16642,-47,40,14,396,215,264,0,3088
RAW_IMU,139608208,-212,-482,16629,-86,70,20,399,215,264,0,2992
RAW_IMU,139629210,-136,-740,16651,-93,55,20,401,227,262,0,3024
RAW_IMU,139650208,1,-741,16703,-28,48,17,401,210,272,0,3088
RAW_IMU,139671210,48,-544,16706,-29,60,30,394,220,269,0,3136
RAW_IMU,139692209,-82,-538,16699,-81,65,11,407,215,272,0,3024
RAW_IMU,139713211,-188,-719,16675,-93,54,27,394,213,260,0,3120
RAW_IMU,139734209,-178,-690,16647,-43,59,18,391,222,262,0,3088
RAW_IMU,139755211,-103,-572,16633,-44,42,26,400,221,268,0,3088
RAW_IMU,139776209,-127,-680,16669,-78,60,11,400,214,261,0,3120
RAW_IMU,139797210,-50,-733,16677,-75,69,16,387,216,271,0,3024
RAW_IMU,139818208,-42,-644,16629,-45,53,22,401,215,264,0,3120
RAW_IMU,139839210,11,-547,16648,-58,48,15,397,209,263,0,3088
RAW_IMU,139860208,-102,-721,16650,-74,77,9,397,224,263,0,3088
RAW_IMU,139881210,-111,-716,16567,-65,56,7,396,203,267,0,3072
RAW_IMU,139902211,-95,-711,16657,-53,46,33,397,219,275,0,3008
RAW_IMU,139923209,9,-573,16632,-84,71,25,395,221,268,0,3136
RAW_IMU,139944211,-113,-731,16681,-95,54,6,401,227,269,0,3120
RAW_IMU,139965209,-80,-701,16647,-48,66,16,396,215,264,0,3120
RAW_IMU,139986375,-113,-625,16615,-57,62,9,394,225,264,0,3072
RAW_IMU,140007207,-88,-551,16650,-63,61,6,401,208,262,0,2912
RAW_IMU,140028209,-179,-718,16687,-58,57,19,395,216,263,0,3088
RAW_IMU,140049211,-61,-651,16673,-41,57,14,400,221,268,0,3088
RAW_IMU,140070209,-52,-563,16683,-50,65,18,392,219,275,0,3056
RAW_IMU,247947209,-53,-638,16646,-61,49,18,390,219,271,0,3488
RAW_IMU,247968210,-167,-655,16634,-62,59,20,412,225,255,0,3536
RAW_IMU,247989208,-69,-675,16606,-76,58,17,388,213,269,0,3536
RAW_IMU,248010211,-149,-636,16632,-80,44,15,397,214,263,0,3488
RAW_IMU,248031209,-74,-580,16603,-64,52,22,388,222,264,0,3472
RAW_IMU,248052211,-84,-650,16660,-55,58,13,395,224,258,0,3536
RAW_IMU,248073210,-108,-706,16625,-78,50,4,403,216,263,0,3488
RAW_IMU,248094208,-173,-611,16648,-71,54,3,387,219,266,0,3536
RAW_IMU,248115209,-113,-714,16683,-46,66,7,394,213,267,0,3520
RAW_IMU,248136211,-115,-671,16599,-68,47,12,391,220,267,0,3408
RAW_IMU,248157374,-112,-692,16639,-73,59,22,388,210,269,0,3536
RAW_IMU,248178208,-136,-697,16626,-57,63,20,395,219,261,0,3488
RAW_IMU,248199210,-102,-660,16614,-64,55,13,396,217,269,0,3552
RAW_IMU,248220208,-119,-712,16615,-60,48,15,394,213,262,0,3536
RAW_IMU,248241210,-14,-680,16625,-72,65,23,396,215,264,0,3440
RAW_IMU,248262208,-133,-639,16670,-79,59,14,391,215,262,0,3584
RAW_IMU,248283210,-119,-662,16640,-52,68,9,392,228,268,0,3488
RAW_IMU,248304208,-86,-569,16655,-74,51,10,399,220,257,0,3600
RAW_IMU,248325211,-79,-567,16658,-69,69,16,404,225,262,0,3584
RAW_IMU,248346209,-103,-643,16610,-39,53,15,396,213,267,0,3424
RAW_IMU,248367208,-112,-698,16628,-55,57,15,395,216,266,0,3520
RAW_IMU,248388210,-36,-625,16668,-55,50,29,404,225,264,0,3520
RAW_IMU,248409208,-129,-686,16639,-48,51,17,395,221,273,0,3488
RAW_IMU,248430210,-110,-682,16673,-55,50,16,392,221,268,0,3440
RAW_IMU,248451208,-157,-655,16661,-65,57,12,403,224,271,0,3488
RAW_IMU,248472211,-139,-607,16607,-63,57,9,391,220,269,0,3488
RAW_IMU,248493209,-111,-650,16605,-67,59,32,405,214,275,0,3472
RAW_IMU,248514211,-100,-696,16649,-69,55,24,394,215,267,0,3488
RAW_IMU,248535209,-192,-666,16613,-55,37,24,395,219,268,0,3440
RAW_IMU,248556211,-137,-643,16657,-65,49,9,396,217,267,0,3472
RAW_IMU,248577210,-114,-680,16601,-77,45,15,407,217,264,0,3552
RAW_IMU,248598208,-120,-608,16574,-64,55,29,390,219,266,0,3536
RAW_IMU,248619209,-174,-608,16641,-76,60,11,400,216,261,0,3488
RAW_IMU,248640211,-155,-697,16665,-50,54,8,397,214,263,0,3408
RAW_IMU,248661209,-204,-683,16561,-68,59,8,395,219,271,0,3536
RAW_IMU,248682208,-152,-633,16623,-62,48,14,401,213,272,0,3472
RAW_IMU,248703210,-111,-622,16689,-62,51,4,395,214,275,0,3488
RAW_IMU,248724208,-72,-640,16656,-68,51,15,384,228,263,0,3584
RAW_IMU,248745210,-156,-628,16637,-67,64,26,400,214,266,0,3408
RAW_IMU,248766209,-177,-601,16585,-72,41,12,396,215,262,0,3552
RAW_IMU,248787209,-104,-593,16596,-67,50,11,396,222,262,0,3536
RAW_IMU,248808211,-109,-604,16645,-62,55,15,397,214,266,0,3536
RAW_IMU,248829209,-138,-651,16641,-68,52,10,391,220,264,0,3520
RAW_IMU,248850211,-78,-632,16657,-68,55,16,387,226,256,0,3408
RAW_IMU,248871211,-162,-697,16668,-64,54,28,394,232,257,0,3552
RAW_IMU,248892210,-146,-698,16592,-56,61,8,409,220,269,0,3520
RAW_IMU,248913208,-126,-643,16606,-68,49,21,401,215,267,0,3520
RAW_IMU,248934210,-125,-592,16621,-71,50,6,392,214,258,0,3552
RAW_IMU,248955208,-156,-627,16646,-67,72,22,395,219,268,0,3552
RAW_IMU,248976211,-189,-663,16683,-60,43,13,404,220,264,0,3536
RAW_IMU,248997209,-89,-623,16640,-65,55,10,409,203,264,0,3488
RAW_IMU,249018208,-164,-659,16643,-66,50,8,396,215,274,0,3520
RAW_IMU,249039210,-56,-602,16667,-55,56,16,399,215,260,0,3488
RAW_IMU,249060208,-100,-703,16583,-62,60,14,397,209,273,0,3552
RAW_IMU,249081211,-151,-685,16648,-58,64,30,391,210,269,0,3520
RAW_IMU,249102209,-115,-678,16612,-69,53,19,394,217,272,0,3584
RAW_IMU,249123211,-62,-629,16598,-82,46,14,407,227,272,0,3600
RAW_IMU,249144209,-99,-612,16549,-60,56,34,394,217,260,0,3472
RAW_IMU,249165211,-44,-616,16664,-64,48,18,395,226,263,0,3488
RAW_IMU,249186210,-85,-683,16609,-81,47,27,407,222,264,0,3552
RAW_IMU,249207208,-31,-611,16579,-62,57,23,396,222,264,0,3488
RAW_IMU,249228209,-65,-636,16726,-73,45,6,399,210,264,0,3584
RAW_IMU,249249211,-101,-615,16679,-62,59,24,394,213,267,0,3536
RAW_IMU,249270212,-97,-667,16620,-77,59,14,394,210,269,0,3600
RAW_IMU,249291211,-135,-742,16679,-73,64,20,399,215,269,0,3520
RAW_IMU,249312209,-167,-633,16643,-52,47,14,403,211,273,0,3536
RAW_IMU,249333211,-38,-613,16628,-55,51,28,388,210,264,0,3488
RAW_IMU,249354209,-135,-628,16684,-65,61,14,399,215,267,0,3472
RAW_IMU,249375215,-130,-668,16606,-87,57,31,395,214,268,0,3552
RAW_IMU,249396209,-56,-686,16633,-59,54,16,396,222,257,0,3536
RAW_IMU,249417211,-59,-631,16627,-58,53,9,404,222,262,0,3584
RAW_IMU,249438209,-157,-628,16629,-65,68,19,397,216,263,0,3472
RAW_IMU,249459211,-88,-619,16637,-72,66,21,403,216,258,0,3440
RAW_IMU,249480208,-119,-595,16635,-66,69,7,394,220,257,0,3536
RAW_IMU,249501210,-117,-649,16603,-65,52,18,391,220,267,0,3440
RAW_IMU,249522208,-88,-682,16598,-77,45,26,401,220,264,0,3488
RAW_IMU,249543210,-105,-568,16689,-57,58,20,400,216,256,0,3536
RAW_IMU,249564208,-42,-630,16633,-72,58,13,394,213,262,0,3488
RAW_IMU,249585209,-109,-630,16678,-67,61,21,388,215,264,0,3488
RAW_IMU,249606211,-117,-695,16625,-59,55,17,390,219,266,0,3552
RAW_IMU,249627209,-210,-651,16594,-66,49,25,395,226,268,0,3536
RAW_IMU,249648211,-56,-584,16575,-65,47,9,397,214,266,0,3488
RAW_IMU,249669209,-150,-730,16671,-77,46,27,387,219,263,0,3552
RAW_IMU,249690208,-81,-598,16678,-60,48,18,391,222,269,0,3488
RAW_IMU,249711210,-115,-624,16688,-60,62,18,391,220,269,0,3488
RAW_IMU,249732208,-49,-678,16685,-63,55,12,401,215,260,0,3552
RAW_IMU,249753210,-166,-584,16654,-73,65,30,401,217,272,0,3520
RAW_IMU,249774209,-138,-680,16593,-70,56,8,395,221,268,0,3584
RAW_IMU,249795208,-95,-647,16654,-66,69,18,396,220,277,0,3488
RAW_IMU,249816210,-126,-549,16679,-84,62,22,405,216,256,0,3520
RAW_IMU,249837208,-127,-716,16645,-67,57,20,392,219,261,0,3520
RAW_IMU,249858210,-120,-588,16623,-56,62,19,400,219,268,0,3440
RAW_IMU,249879211,-90,-676,16623,-59,52,12,392,214,268,0,3552
RAW_IMU,249900208,-82,-638,16591,-77,51,10,397,219,258,0,3488
RAW_IMU,249921210,-50,-613,16667,-67,64,12,394,225,272,0,3488
RAW_IMU,249942208,-107,-642,16608,-59,45,21,395,226,258,0,3472
RAW_IMU,249963210,-141,-616,16585,-61,51,20,395,216,268,0,3440
RAW_IMU,249984209,-183,-580,16602,-57,71,15,401,215,269,0,3584
RAW_IMU,250005210,-70,-602,16670,-63,52,5,396,213,274,0,3536
RAW_IMU,250026208,-128,-617,16666,-69,56,7,405,219,271,0,3488
RAW_IMU,250047211,-110,-670,16569,-77,47,18,400,224,275,0,3488
RAW_IMU,250068209,-80,-613,16699,-57,67,14,396,213,272,0,3488
RAW_IMU,250089210,-60,-631,16662,-66,65,15,400,216,273,0,3488
RAW_IMU,250110208,-173,-629,16603,-62,59,20,400,214,261,0,3520
RAW_IMU,250131210,-48,-615,16606,-56,65,14,401,215,272,0,3520
RAW_IMU,250152208,-102,-676,16566,-78,75,7,409,213,269,0,3472
RAW_IMU,250173210,-93,-642,16692,-69,58,20,396,213,272,0,3472
RAW_IMU,250194211,-91,-676,16660,-50,51,19,395,219,271,0,3552
RAW_IMU,250215209,-133,-649,16585,-62,42,14,391,208,277,0,3488
RAW_IMU,250236211,-94,-650,16682,-55,51,0,388,220,262,0,3488
RAW_IMU,250257209,-106,-694,16631,-80,45,22,403,216,263,0,3488
RAW_IMU,250278375,-122,-609,16616,-52,45,29,395,219,263,0,3488
RAW_IMU,250299210,-106,-639,16603,-73,72,5,410,226,268,0,3552
RAW_IMU,250320208,-149,-700,16638,-64,51,-3,390,214,266,0,3552
RAW_IMU,250341210,-141,-616,16717,-59,54,-2,407,222,267,0,3552
RAW_IMU,250362208,-143,-624,16658,-72,59,9,395,221,261,0,3520
