mavpackettype,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,index,frequency,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RAW_RPM,68490004,3,369603651,-1220329580,0,65535,65535,1,0,255,0,0,0,0,0,0,0,0.0011504855938255787,68454,0.9996600151062012,-0.0017156871035695076,0.01866394653916359,0.018126897513866425,-0.0010652969358488917,0.013316212221980095,-0.005326484329998493,"[0.0, 0.0, 0.0, 0.0]",14.989507675170898,8.37066650390625,0.0,-0.0003329129540361464,-0.0005379332578741014,0.0,10,0,192,0,3,3
RAW_RPM,68490004,3,369603651,-1220329580,0,65535,65535,1,0,255,0,0,0,0,0,0,1,0.0015339808305725455,68454,0.9996600151062012,-0.0017156871035695076,0.01866394653916359,0.018126897513866425,-0.0010652969358488917,0.013316212221980095,-0.005326484329998493,"[0.0, 0.0, 0.0, 0.0]",14.989507675170898,8.37066650390625,0.0,-0.0003329129540361464,-0.0005379332578741014,0.0,10,0,192,0,3,3
RAW_RPM,68490004,3,369603651,-1220329580,0,65535,65535,1,0,255,0,0,0,0,0,0,2,0.010095511563122272,68454,0.9996600151062012,-0.0017156871035695076,0.01866394653916359,0.018126897513866425,-0.0010652969358488917,0.013316212221980095,-0.005326484329998493,"[0.0, 0.0, 0.0, 0.0]",14.989507675170898,8.37066650390625,0.0,-0.0003329129540361464,-0.0005379332578741014,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,68490004,3,369603651,-1220329580,0,65535,65535,1,0,255,0,0,0,0,0,0,2,0.010095511563122272,68505,0.9996728897094727,-0.0018748900620266795,0.018234524875879288,0.017838863655924797,-0.0015979454619809985,0.010386645793914795,-0.0021305938716977835,"[0.0, 0.0, 0.0, 0.0]",14.989507675170898,8.37066650390625,0.0,-0.0003329129540361464,-0.0005379332578741014,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,68490004,3,369603651,-1220329580,0,65535,65535,1,0,255,0,0,0,0,0,0,2,0.010095511563122272,68505,0.9996728897094727,-0.0018748900620266795,0.018234524875879288,0.017838863655924797,-0.0015979454619809985,0.010386645793914795,-0.0021305938716977835,"[0.0, 0.0, 0.0, 0.0]",14.98949146270752,8.370640754699707,0.0,-0.0003243779356125742,-0.0005241399048827589,0.0,10,0,192,0,3,3
RAW_RPM,68490004,3,369603651,-1220329580,0,65535,65535,1,0,255,0,0,0,0,0,0,0,0.0,68505,0.9996728897094727,-0.0018748900620266795,0.018234524875879288,0.017838863655924797,-0.0015979454619809985,0.010386645793914795,-0.0021305938716977835,"[0.0, 0.0, 0.0, 0.0]",14.98949146270752,8.370640754699707,0.0,-0.0003243779356125742,-0.0005241399048827589,0.0,10,0,192,0,3,3
RAW_RPM,68490004,3,369603651,-1220329580,0,65535,65535,1,0,255,0,0,0,0,0,0,1,-0.0003834952076431364,68505,0.9996728897094727,-0.0018748900620266795,0.018234524875879288,0.017838863655924797,-0.0015979454619809985,0.010386645793914795,-0.0021305938716977835,"[0.0, 0.0, 0.0, 0.0]",14.98949146270752,8.370640754699707,0.0,-0.0003243779356125742,-0.0005241399048827589,0.0,10,0,192,0,3,3
RAW_RPM,68490004,3,369603651,-1220329580,0,65535,65535,1,0,255,0,0,0,0,0,0,2,0.00983665231615305,68505,0.9996728897094727,-0.0018748900620266795,0.018234524875879288,0.017838863655924797,-0.0015979454619809985,0.010386645793914795,-0.0021305938716977835,"[0.0, 0.0, 0.0, 0.0]",14.98949146270752,8.370640754699707,0.0,-0.0003243779356125742,-0.0005241399048827589,0.0,10,0,192,0,3,3
ATTITUDE_QUATERNION,68490004,3,369603651,-1220329580,0,65535,65535,1,0,255,0,0,0,0,0,0,2,0.00983665231615305,68556,0.9996792674064636,-0.0019919038750231266,0.017986439168453217,0.01771695725619793,-0.006391781847923994,0.013316212221980095,-0.0066581061109900475,"[0.0, 0.0, 0.0, 0.0]",14.98949146270752,8.370640754699707,0.0,-0.0003243779356125742,-0.0005241399048827589,0.0,10,0,192,0,3,3
LOCAL_POSITION_NED,68490004,3,369603651,-1220329580,0,65535,65535,1,0,255,0,0,0,0,0,0,2,0.00983665231615305,68556,0.9996792674064636,-0.0019919038750231266,0.017986439168453217,0.01771695725619793,-0.006391781847923994,0.013316212221980095,-0.0066581061109900475,"[0.0, 0.0, 0.0, 0.0]",14.98947525024414,8.370612144470215,0.0,-0.000332914903992787,-0.0005379320355132222,0.0,10,0,192,0,3,3
