mavpackettype,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,time_boot_ms,port,chan1_raw,chan2_raw,chan3_raw,chan4_raw,chan5_raw,chan6_raw,chan7_raw,chan8_raw,rssi,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature,chan1_scaled,chan2_scaled,chan3_scaled,chan4_scaled,chan5_scaled,chan6_scaled,chan7_scaled,chan8_scaled,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RC_CHANNELS_SCALED,69711150,3,369931861,-1220604698,0,65535,65535,38,8261,255,0,0,0,0,0,0,69711,1,172,992,1089,951,172,172,172,1811,255,-5010,11617,17897,-538,-252,-70,88,-155,-333,0,1152,725,717,-4,1615,-1,-1,-1,-1,10,0,192,0,3,3
RC_CHANNELS_RAW,69711150,3,369931861,-1220604698,0,65535,65535,38,8261,255,0,0,0,0,0,0,69731,0,172,992,1090,951,172,172,172,1811,255,-5010,11617,17897,-538,-252,-70,88,-155,-333,0,1152,725,717,-4,1615,-1,-1,-1,-1,10,0,192,0,3,3
RAW_IMU,69731148,3,369931861,-1220604698,0,65535,65535,38,8261,255,0,0,0,0,0,0,69731,0,172,992,1090,951,172,172,172,1811,255,-1039,-1956,16212,337,-75,-223,101,-171,-331,0,1120,725,717,-4,1615,-1,-1,-1,-1,10,0,192,0,3,3
RC_CHANNELS_SCALED,69731148,3,369931861,-1220604698,0,65535,65535,38,8261,255,0,0,0,0,0,0,69731,1,172,992,1090,951,172,172,172,1811,255,-1039,-1956,16212,337,-75,-223,101,-171,-331,0,1120,603,630,-4,1612,-1,-1,-1,-1,10,0,192,0,3,3
GPS_RAW_INT,69739006,3,369931866,-1220604675,0,65535,65535,72,7966,255,0,0,0,0,0,0,69731,1,172,992,1090,951,172,172,172,1811,255,-1039,-1956,16212,337,-75,-223,101,-171,-331,0,1120,603,630,-4,1612,-1,-1,-1,-1,10,0,192,0,3,3
RC_CHANNELS_RAW,69739006,3,369931866,-1220604675,0,65535,65535,72,7966,255,0,0,0,0,0,0,69751,0,172,992,1091,55,1136,1045,1045,789,255,-1039,-1956,16212,337,-75,-223,101,-171,-331,0,1120,603,630,-4,1612,-1,-1,-1,-1,10,0,192,0,3,3
RAW_IMU,69751141,3,369931866,-1220604675,0,65535,65535,72,7966,255,0,0,0,0,0,0,69751,0,172,992,1091,55,1136,1045,1045,789,255,-4268,3742,20481,195,560,-232,88,-164,-355,0,1152,603,630,-4,1612,-1,-1,-1,-1,10,0,192,0,3,3
RC_CHANNELS_SCALED,69751141,3,369931866,-1220604675,0,65535,65535,72,7966,255,0,0,0,0,0,0,69751,1,172,992,1091,55,1136,1045,1045,789,255,-4268,3742,20481,195,560,-232,88,-164,-355,0,1152,588,596,-1,1612,-1,-1,-1,-1,10,0,192,0,3,3
RC_CHANNELS_RAW,69751141,3,369931866,-1220604675,0,65535,65535,72,7966,255,0,0,0,0,0,0,69771,0,172,992,1091,951,172,172,172,1811,255,-4268,3742,20481,195,560,-232,88,-164,-355,0,1152,588,596,-1,1612,-1,-1,-1,-1,10,0,192,0,3,3
RAW_IMU,69771142,3,369931866,-1220604675,0,65535,65535,72,7966,255,0,0,0,0,0,0,69771,0,172,992,1091,951,172,172,172,1811,255,1012,3860,19427,294,-153,-389,91,-159,-328,0,1248,588,596,-1,1612,-1,-1,-1,-1,10,0,192,0,3,3
