mavpackettype,time_boot_ms,port,chan1_raw,chan2_raw,chan3_raw,chan4_raw,chan5_raw,chan6_raw,chan7_raw,chan8_raw,rssi,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature,chan1_scaled,chan2_scaled,chan3_scaled,chan4_scaled,chan5_scaled,chan6_scaled,chan7_scaled,chan8_scaled,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RC_CHANNELS_SCALED,329192,1,172,992,934,950,992,1811,992,1811,255,329192144,211,825,16681,-40,71,-9,91,14,-294,0,-112,1,-2,0,1654,-1,-1,-1,-1,3,369989850,-1220635843,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,329192,1,172,992,934,950,992,1811,992,1811,255,329209005,211,825,16681,-40,71,-9,91,14,-294,0,-112,1,-2,0,1654,-1,-1,-1,-1,3,369989850,-1220635843,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,329212,0,172,992,934,950,992,1811,992,1811,255,329209005,211,825,16681,-40,71,-9,91,14,-294,0,-112,1,-2,0,1654,-1,-1,-1,-1,3,369989850,-1220635843,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,329212,0,172,992,934,950,992,1811,992,1811,255,329212148,269,821,16655,-40,84,-27,97,8,-300,0,-272,1,-2,0,1654,-1,-1,-1,-1,3,369989850,-1220635843,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,329212,1,172,992,934,950,992,1811,992,1811,255,329212148,269,821,16655,-40,84,-27,97,8,-300,0,-272,-4,1,5,1658,-1,-1,-1,-1,3,369989850,-1220635843,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,329232,0,172,992,934,950,992,1811,992,1811,255,329212148,269,821,16655,-40,84,-27,97,8,-300,0,-272,-4,1,5,1658,-1,-1,-1,-1,3,369989850,-1220635843,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,329232,0,172,992,934,950,992,1811,992,1811,255,329232149,176,850,16726,-44,66,-19,101,9,-311,0,-160,-4,1,5,1658,-1,-1,-1,-1,3,369989850,-1220635843,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,329232,1,172,992,934,950,992,1811,992,1811,255,329232149,176,850,16726,-44,66,-19,101,9,-311,0,-160,-1,-3,0,1655,-1,-1,-1,-1,3,369989850,-1220635843,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,329252,0,172,992,934,950,992,1811,992,1811,255,329232149,176,850,16726,-44,66,-19,101,9,-311,0,-160,-1,-3,0,1655,-1,-1,-1,-1,3,369989850,-1220635843,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,329252,0,172,992,934,950,992,1811,992,1811,255,329252144,286,895,16734,-46,64,-8,96,12,-306,0,-96,-1,-3,0,1655,-1,-1,-1,-1,3,369989850,-1220635843,0,65535,65535,1,0,255,0,0,0,0,0,0,10,0,192,0,3,3
