mavpackettype,index,frequency,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version,data
RAW_RPM,1,0.30602917075157166,49942,0.8467759490013123,-0.15412943065166473,0.057063765823841095,0.5059232115745544,0.015180480666458607,-0.12730298936367035,-2.238455295562744,"[0.0, 0.0, 0.0, 0.0]",0.03426231071352959,0.088267020881176,0.0,0.2721883952617645,0.4964418113231659,0.0,49907006,3,369991026,-1220635001,0,65535,65535,27,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,2,-0.3416942358016968,49942,0.8467759490013123,-0.15412943065166473,0.057063765823841095,0.5059232115745544,0.015180480666458607,-0.12730298936367035,-2.238455295562744,"[0.0, 0.0, 0.0, 0.0]",0.03426231071352959,0.088267020881176,0.0,0.2721883952617645,0.4964418113231659,0.0,49907006,3,369991026,-1220635001,0,65535,65535,27,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
ATTITUDE_QUATERNION,2,-0.3416942358016968,49993,0.8748554587364197,-0.16202233731746674,0.05728524923324585,0.45287442207336426,0.12144384533166885,0.13982021808624268,-1.7191228866577148,"[0.0, 0.0, 0.0, 0.0]",0.03426231071352959,0.088267020881176,0.0,0.2721883952617645,0.4964418113231659,0.0,49907006,3,369991026,-1220635001,0,65535,65535,27,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
LOCAL_POSITION_NED,2,-0.3416942358016968,49994,0.8748554587364197,-0.16202233731746674,0.05728524923324585,0.45287442207336426,0.12144384533166885,0.13982021808624268,-1.7191228866577148,"[0.0, 0.0, 0.0, 0.0]",0.05543357506394386,0.1205088198184967,0.0,0.41233137249946594,0.5618816018104553,0.0,49907006,3,369991026,-1220635001,0,65535,65535,27,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
GPS_RAW_INT,2,-0.3416942358016968,49994,0.8748554587364197,-0.16202233731746674,0.05728524923324585,0.45287442207336426,0.12144384533166885,0.13982021808624268,-1.7191228866577148,"[0.0, 0.0, 0.0, 0.0]",0.05543357506394386,0.1205088198184967,0.0,0.41233137249946594,0.5618816018104553,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
HEARTBEAT,2,-0.3416942358016968,49994,0.8748554587364197,-0.16202233731746674,0.05728524923324585,0.45287442207336426,0.12144384533166885,0.13982021808624268,-1.7191228866577148,"[0.0, 0.0, 0.0, 0.0]",0.05543357506394386,0.1205088198184967,0.0,0.41233137249946594,0.5618816018104553,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,0,0.006902913562953472,49994,0.8748554587364197,-0.16202233731746674,0.05728524923324585,0.45287442207336426,0.12144384533166885,0.13982021808624268,-1.7191228866577148,"[0.0, 0.0, 0.0, 0.0]",0.05543357506394386,0.1205088198184967,0.0,0.41233137249946594,0.5618816018104553,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,1,0.2208932340145111,49994,0.8748554587364197,-0.16202233731746674,0.05728524923324585,0.45287442207336426,0.12144384533166885,0.13982021808624268,-1.7191228866577148,"[0.0, 0.0, 0.0, 0.0]",0.05543357506394386,0.1205088198184967,0.0,0.41233137249946594,0.5618816018104553,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
RAW_RPM,2,-0.2609301507472992,49994,0.8748554587364197,-0.16202233731746674,0.05728524923324585,0.45287442207336426,0.12144384533166885,0.13982021808624268,-1.7191228866577148,"[0.0, 0.0, 0.0, 0.0]",0.05543357506394386,0.1205088198184967,0.0,0.41233137249946594,0.5618816018104553,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
ATTITUDE_QUATERNION,2,-0.2609301507472992,50044,0.8942457437515259,-0.15441001951694489,0.04339632764458656,0.4178504943847656,0.17497502267360687,0.13449373841285706,-1.2128405570983887,"[0.0, 0.0, 0.0, 0.0]",0.05543357506394386,0.1205088198184967,0.0,0.41233137249946594,0.5618816018104553,0.0,50008003,3,369991036,-1220635000,0,65535,65535,48,29748,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 30, 0, 0, 214, 1, 0, 1, 24, 0, 0, 13, 83, 92, 2, 0, 0, 0, 0, 86, 157, 13, 22, 131, 150, 62, 183, 0, 0, 0, 0, 255, 255, 255, 255, 4, 0, 0, 0, 3, 255, 88])"
