mavpackettype,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,abs_pressure,diff_pressure,pressure_alt,temperature,fields_updated,id,time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed,repr_offset_q,x,y,z,vx,vy,vz,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version,data
ATTITUDE_QUATERNION,35101003,-0.04390908405184746,-0.0068915667943656445,1.0067567825317383,0.33570361137390137,0.6256294250488281,-0.47303688526153564,0.4384051561355591,-0.3807469606399536,-0.5863580107688904,0.0,0.0,0.0,-2048.0,0,0,35101,0.4722139835357666,-0.051305100321769714,0.0643373653292656,0.877634584903717,0.005859133321791887,0.010919293388724327,-0.008256050758063793,"[0.0, 0.0, 0.0, 0.0]",0.19214655458927155,-0.1280878633260727,0.0,0.0,0.0,0.0,3,369630718,-1220337813,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 60, 0, 0, 0, 185, 1, 1, 105, 0, 0, 162, 167, 177, 1, 0, 0, 0, 0, 106, 255, 60, 189, 0, 163, 118, 187, 222, 102, 128, 63, 56, 65, 156, 61, 213, 97, 106, 63, 182, 193, 90, 190, 64, 53, 235, 62, 28, 64, 193, 190, 192, 225, 16, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 197, 77])"
LOCAL_POSITION_NED,35101003,-0.04390908405184746,-0.0068915667943656445,1.0067567825317383,0.33570361137390137,0.6256294250488281,-0.47303688526153564,0.4384051561355591,-0.3807469606399536,-0.5863580107688904,0.0,0.0,0.0,-2048.0,0,0,35101,0.4722139835357666,-0.051305100321769714,0.0643373653292656,0.877634584903717,0.005859133321791887,0.010919293388724327,-0.008256050758063793,"[0.0, 0.0, 0.0, 0.0]",0.19214655458927155,-0.1280878633260727,0.0,0.0,0.0,0.0,3,369630718,-1220337813,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 60, 0, 0, 0, 185, 1, 1, 105, 0, 0, 162, 167, 177, 1, 0, 0, 0, 0, 106, 255, 60, 189, 0, 163, 118, 187, 222, 102, 128, 63, 56, 65, 156, 61, 213, 97, 106, 63, 182, 193, 90, 190, 64, 53, 235, 62, 28, 64, 193, 190, 192, 225, 16, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 197, 77])"
HIGHRES_IMU,35152006,-0.046736203134059906,-0.0045340522192418575,1.0033243894577026,0.10681478679180145,0.9002960324287415,0.13733328878879547,0.4065791368484497,-0.374279260635376,-0.544842004776001,0.0,0.0,0.0,-2096.0,0,0,35101,0.4722139835357666,-0.051305100321769714,0.0643373653292656,0.877634584903717,0.005859133321791887,0.010919293388724327,-0.008256050758063793,"[0.0, 0.0, 0.0, 0.0]",0.19214655458927155,-0.1280878633260727,0.0,0.0,0.0,0.0,3,369630718,-1220337813,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 60, 0, 0, 0, 185, 1, 1, 105, 0, 0, 162, 167, 177, 1, 0, 0, 0, 0, 106, 255, 60, 189, 0, 163, 118, 187, 222, 102, 128, 63, 56, 65, 156, 61, 213, 97, 106, 63, 182, 193, 90, 190, 64, 53, 235, 62, 28, 64, 193, 190, 192, 225, 16, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 197, 77])"
ATTITUDE_QUATERNION,35152006,-0.046736203134059906,-0.0045340522192418575,1.0033243894577026,0.10681478679180145,0.9002960324287415,0.13733328878879547,0.4065791368484497,-0.374279260635376,-0.544842004776001,0.0,0.0,0.0,-2096.0,0,0,35152,0.4719384014606476,-0.05062540993094444,0.06556282192468643,0.8777316212654114,0.001864269725047052,0.015713129192590714,0.002396918134763837,"[0.0, 0.0, 0.0, 0.0]",0.19214655458927155,-0.1280878633260727,0.0,0.0,0.0,0.0,3,369630718,-1220337813,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 60, 0, 0, 0, 185, 1, 1, 105, 0, 0, 162, 167, 177, 1, 0, 0, 0, 0, 106, 255, 60, 189, 0, 163, 118, 187, 222, 102, 128, 63, 56, 65, 156, 61, 213, 97, 106, 63, 182, 193, 90, 190, 64, 53, 235, 62, 28, 64, 193, 190, 192, 225, 16, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 197, 77])"
LOCAL_POSITION_NED,35152006,-0.046736203134059906,-0.0045340522192418575,1.0033243894577026,0.10681478679180145,0.9002960324287415,0.13733328878879547,0.4065791368484497,-0.374279260635376,-0.544842004776001,0.0,0.0,0.0,-2096.0,0,0,35152,0.4719384014606476,-0.05062540993094444,0.06556282192468643,0.8777316212654114,0.001864269725047052,0.015713129192590714,0.002396918134763837,"[0.0, 0.0, 0.0, 0.0]",0.19214655458927155,-0.1280878633260727,0.0,0.0,0.0,0.0,3,369630718,-1220337813,0,65535,65535,3,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 60, 0, 0, 0, 185, 1, 1, 105, 0, 0, 162, 167, 177, 1, 0, 0, 0, 0, 106, 255, 60, 189, 0, 163, 118, 187, 222, 102, 128, 63, 56, 65, 156, 61, 213, 97, 106, 63, 182, 193, 90, 190, 64, 53, 235, 62, 28, 64, 193, 190, 192, 225, 16, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 197, 77])"
GPS_RAW_INT,35161006,-0.046736203134059906,-0.0045340522192418575,1.0033243894577026,0.10681478679180145,0.9002960324287415,0.13733328878879547,0.4065791368484497,-0.374279260635376,-0.544842004776001,0.0,0.0,0.0,-2096.0,0,0,35152,0.4719384014606476,-0.05062540993094444,0.06556282192468643,0.8777316212654114,0.001864269725047052,0.015713129192590714,0.002396918134763837,"[0.0, 0.0, 0.0, 0.0]",0.19214655458927155,-0.1280878633260727,0.0,0.0,0.0,0.0,3,369630718,-1220337811,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 60, 0, 0, 0, 185, 1, 1, 105, 0, 0, 162, 167, 177, 1, 0, 0, 0, 0, 106, 255, 60, 189, 0, 163, 118, 187, 222, 102, 128, 63, 56, 65, 156, 61, 213, 97, 106, 63, 182, 193, 90, 190, 64, 53, 235, 62, 28, 64, 193, 190, 192, 225, 16, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 197, 77])"
HIGHRES_IMU,35203416,-0.04747452959418297,-0.004411439411342144,1.0057463645935059,0.13733328878879547,0.6714072227478027,-0.16785180568695068,0.44527769088745117,-0.39424991607666016,-0.5521258115768433,0.0,0.0,0.0,-2112.0,0,0,35152,0.4719384014606476,-0.05062540993094444,0.06556282192468643,0.8777316212654114,0.001864269725047052,0.015713129192590714,0.002396918134763837,"[0.0, 0.0, 0.0, 0.0]",0.19214655458927155,-0.1280878633260727,0.0,0.0,0.0,0.0,3,369630718,-1220337811,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 60, 0, 0, 0, 185, 1, 1, 105, 0, 0, 162, 167, 177, 1, 0, 0, 0, 0, 106, 255, 60, 189, 0, 163, 118, 187, 222, 102, 128, 63, 56, 65, 156, 61, 213, 97, 106, 63, 182, 193, 90, 190, 64, 53, 235, 62, 28, 64, 193, 190, 192, 225, 16, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 197, 77])"
ATTITUDE_QUATERNION,35203416,-0.04747452959418297,-0.004411439411342144,1.0057463645935059,0.13733328878879547,0.6714072227478027,-0.16785180568695068,0.44527769088745117,-0.39424991607666016,-0.5521258115768433,0.0,0.0,0.0,-2112.0,0,0,35203,0.47163471579551697,-0.04993772879242897,0.06637430191040039,0.8778731822967529,0.002396918134763837,0.011718266643583775,-0.0029295666608959436,"[0.0, 0.0, 0.0, 0.0]",0.19214655458927155,-0.1280878633260727,0.0,0.0,0.0,0.0,3,369630718,-1220337811,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 60, 0, 0, 0, 185, 1, 1, 105, 0, 0, 162, 167, 177, 1, 0, 0, 0, 0, 106, 255, 60, 189, 0, 163, 118, 187, 222, 102, 128, 63, 56, 65, 156, 61, 213, 97, 106, 63, 182, 193, 90, 190, 64, 53, 235, 62, 28, 64, 193, 190, 192, 225, 16, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 197, 77])"
LOCAL_POSITION_NED,35203416,-0.04747452959418297,-0.004411439411342144,1.0057463645935059,0.13733328878879547,0.6714072227478027,-0.16785180568695068,0.44527769088745117,-0.39424991607666016,-0.5521258115768433,0.0,0.0,0.0,-2112.0,0,0,35204,0.47163471579551697,-0.04993772879242897,0.06637430191040039,0.8778731822967529,0.002396918134763837,0.011718266643583775,-0.0029295666608959436,"[0.0, 0.0, 0.0, 0.0]",0.19214655458927155,-0.1280878633260727,0.0,0.0,0.0,0.0,3,369630718,-1220337811,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 60, 0, 0, 0, 185, 1, 1, 105, 0, 0, 162, 167, 177, 1, 0, 0, 0, 0, 106, 255, 60, 189, 0, 163, 118, 187, 222, 102, 128, 63, 56, 65, 156, 61, 213, 97, 106, 63, 182, 193, 90, 190, 64, 53, 235, 62, 28, 64, 193, 190, 192, 225, 16, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 197, 77])"
HIGHRES_IMU,35254004,-0.04937707632780075,-0.004781587049365044,1.003157138824463,0.07629626989364624,0.5951109528541565,-0.3967406153678894,0.4592679738998413,-0.3608105182647705,-0.5418636798858643,0.0,0.0,0.0,-2112.0,0,0,35204,0.47163471579551697,-0.04993772879242897,0.06637430191040039,0.8778731822967529,0.002396918134763837,0.011718266643583775,-0.0029295666608959436,"[0.0, 0.0, 0.0, 0.0]",0.19214655458927155,-0.1280878633260727,0.0,0.0,0.0,0.0,3,369630718,-1220337811,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3,"array('B', [253, 60, 0, 0, 0, 185, 1, 1, 105, 0, 0, 162, 167, 177, 1, 0, 0, 0, 0, 106, 255, 60, 189, 0, 163, 118, 187, 222, 102, 128, 63, 56, 65, 156, 61, 213, 97, 106, 63, 182, 193, 90, 190, 64, 53, 235, 62, 28, 64, 193, 190, 192, 225, 16, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 197, 77])"
