mavpackettype,time_boot_ms,port,chan1_raw,chan2_raw,chan3_raw,chan4_raw,chan5_raw,chan6_raw,chan7_raw,chan8_raw,rssi,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature,chan1_scaled,chan2_scaled,chan3_scaled,chan4_scaled,chan5_scaled,chan6_scaled,chan7_scaled,chan8_scaled,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,yaw,type,autopilot,base_mode,custom_mode,system_status,mavlink_version
RAW_IMU,266571,0,172,992,934,950,172,172,172,1811,255,266571145,666,-391,16662,-34,70,-22,-61,-83,-310,0,-48,2,0,-1,1654,-1,-1,-1,-1,3,369603621,-1220327806,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266571,1,172,992,934,950,172,172,172,1811,255,266571145,666,-391,16662,-34,70,-22,-61,-83,-310,0,-48,0,4,0,1654,-1,-1,-1,-1,3,369603621,-1220327806,0,65535,65535,2,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,266571,1,172,992,934,950,172,172,172,1811,255,266588007,666,-391,16662,-34,70,-22,-61,-83,-310,0,-48,0,4,0,1654,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,266591,0,172,992,933,950,172,172,172,1811,255,266588007,666,-391,16662,-34,70,-22,-61,-83,-310,0,-48,0,4,0,1654,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,266591,0,172,992,933,950,172,172,172,1811,255,266591144,638,-348,16641,-24,83,-7,-65,-75,-314,0,-48,0,4,0,1654,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266591,1,172,992,933,950,172,172,172,1811,255,266591144,638,-348,16641,-24,83,-7,-65,-75,-314,0,-48,-1,3,0,1655,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,266611,0,172,992,933,950,172,172,172,1811,255,266591144,638,-348,16641,-24,83,-7,-65,-75,-314,0,-48,-1,3,0,1655,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,266611,0,172,992,933,950,172,172,172,1811,255,266611144,670,-366,16623,-19,70,-27,-74,-81,-315,0,-32,-1,3,0,1655,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266611,1,172,992,933,950,172,172,172,1811,255,266611144,670,-366,16623,-19,70,-27,-74,-81,-315,0,-32,0,-3,0,1654,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,266631,0,172,992,933,950,172,172,172,1811,255,266611144,670,-366,16623,-19,70,-27,-74,-81,-315,0,-32,0,-3,0,1654,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,266631,0,172,992,933,950,172,172,172,1811,255,266631146,711,-333,16649,-29,61,-16,-67,-77,-304,0,-48,0,-3,0,1654,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266631,1,172,992,933,950,172,172,172,1811,255,266631146,711,-333,16649,-29,61,-16,-67,-77,-304,0,-48,-1,-1,5,1656,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,266651,0,172,992,933,950,172,172,172,1811,255,266631146,711,-333,16649,-29,61,-16,-67,-77,-304,0,-48,-1,-1,5,1656,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,266651,0,172,992,933,950,172,172,172,1811,255,266651140,649,-385,16690,-42,62,-26,-61,-78,-315,0,-48,-1,-1,5,1656,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266651,1,172,992,933,950,172,172,172,1811,255,266651140,649,-385,16690,-42,62,-26,-61,-78,-315,0,-48,3,-3,4,1656,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,266671,0,172,992,933,950,172,172,172,1811,255,266651140,649,-385,16690,-42,62,-26,-61,-78,-315,0,-48,3,-3,4,1656,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,266671,0,172,992,933,950,172,172,172,1811,255,266671147,683,-325,16744,-36,73,-27,-70,-77,-309,0,-48,3,-3,4,1656,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266671,1,172,992,933,950,172,172,172,1811,255,266671147,683,-325,16744,-36,73,-27,-70,-77,-309,0,-48,3,1,-2,1653,-1,-1,-1,-1,3,369603623,-1220327808,0,65535,65535,4,0,255,0,0,0,0,0,0,10,0,192,0,3,3
GPS_RAW_INT,266671,1,172,992,933,950,172,172,172,1811,255,266689009,683,-325,16744,-36,73,-27,-70,-77,-309,0,-48,3,1,-2,1653,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,266691,0,172,992,933,950,172,172,172,1811,255,266689009,683,-325,16744,-36,73,-27,-70,-77,-309,0,-48,3,1,-2,1653,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,266691,0,172,992,933,950,172,172,172,1811,255,266691144,661,-395,16623,-43,75,-24,-58,-85,-307,0,-144,3,1,-2,1653,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266691,1,172,992,933,950,172,172,172,1811,255,266691144,661,-395,16623,-43,75,-24,-58,-85,-307,0,-144,-1,1,0,1655,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,266711,0,172,992,934,950,172,172,172,1811,255,266691144,661,-395,16623,-43,75,-24,-58,-85,-307,0,-144,-1,1,0,1655,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,266711,0,172,992,934,950,172,172,172,1811,255,266711143,639,-329,16584,-23,73,-19,-71,-78,-305,0,-32,-1,1,0,1655,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266711,1,172,992,934,950,172,172,172,1811,255,266711143,639,-329,16584,-23,73,-19,-71,-78,-305,0,-32,1,0,-3,1652,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,266731,0,172,992,934,950,172,172,172,1811,255,266711143,639,-329,16584,-23,73,-19,-71,-78,-305,0,-32,1,0,-3,1652,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,266731,0,172,992,934,950,172,172,172,1811,255,266731145,703,-357,16639,-33,75,-32,-75,-79,-318,0,-160,1,0,-3,1652,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266731,1,172,992,934,950,172,172,172,1811,255,266731145,703,-357,16639,-33,75,-32,-75,-79,-318,0,-160,1,-1,2,1654,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,266751,0,172,992,934,950,172,172,172,1811,255,266731145,703,-357,16639,-33,75,-32,-75,-79,-318,0,-160,1,-1,2,1654,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,266751,0,172,992,934,950,172,172,172,1811,255,266751148,646,-361,16640,-27,69,-14,-66,-88,-315,0,-144,1,-1,2,1654,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266751,1,172,992,934,950,172,172,172,1811,255,266751148,646,-361,16640,-27,69,-14,-66,-88,-315,0,-144,-2,3,-2,1653,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_RAW,266771,0,172,992,934,950,172,172,172,1811,255,266751148,646,-361,16640,-27,69,-14,-66,-88,-315,0,-144,-2,3,-2,1653,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RAW_IMU,266771,0,172,992,934,950,172,172,172,1811,255,266771145,697,-385,16624,-23,78,-7,-65,-77,-314,0,16,-2,3,-2,1653,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
RC_CHANNELS_SCALED,266771,1,172,992,934,950,172,172,172,1811,255,266771145,697,-385,16624,-23,78,-7,-65,-77,-314,0,16,4,0,-1,1655,-1,-1,-1,-1,3,369603621,-1220327810,0,65535,65535,5,0,255,0,0,0,0,0,0,10,0,192,0,3,3
