xacc,yacc,zacc,xmag,ymag,zmag
-264,312,16613,225,129,-379
-294,322,16592,215,144,-371
-273,359,16602,220,136,-371
-209,261,16584,212,136,-369
-306,336,16563,217,139,-369
-436,330,16464,217,129,-369
-585,202,16418,225,136,-371
-626,240,16374,217,139,-379
-446,262,16473,225,129,-366
-454,352,16467,219,128,-367
-441,250,16443,208,140,-370
-566,253,16390,216,135,-367
-678,263,16389,220,136,-383
-552,291,16574,219,130,-377
-408,294,16512,216,145,-377
-406,324,16492,215,131,-366
-578,380,16344,225,134,-371
-506,436,16404,217,136,-376
-561,322,16409,221,138,-377
-474,329,16455,213,138,-367
-195,618,16543,219,135,-372
-291,655,16532,219,140,-375
-365,771,16584,217,139,-369
-221,607,16706,219,130,-370
-239,494,16584,213,135,-375
-103,580,16741,217,131,-371
-92,875,16572,217,134,-379
-408,820,16276,220,136,-366
-854,340,15750,223,129,-369
-822,256,15546,225,136,-364
-906,232,15492,213,135,-372
-904,-88,15563,216,140,-365
-641,-246,15786,221,142,-372
-50,280,15791,216,130,-365
573,346,16394,208,140,-365
267,415,16274,224,142,-370
70,-368,16371,212,153,-369
104,-649,16840,221,142,-367
265,-774,16999,217,148,-369
524,-595,17156,224,145,-365
348,-691,17061,217,156,-356
-102,-706,16478,216,147,-363
34,-580,16490,213,157,-367
487,-1242,16816,221,145,-360
761,-1203,17094,207,161,-359
153,-1193,16558,213,155,-345
-213,-1878,16399,217,156,-366
265,-2660,16978,216,157,-365
829,-2161,17392,216,159,-360
757,-1861,17138,220,156,-366
692,-1600,16941,221,157,-350
898,-1410,17086,211,157,-360
1176,-1321,17038,213,155,-365
1241,-1585,17228,223,151,-359
864,-1638,17118,213,162,-358
139,-1740,16870,212,153,-356
-522,-2033,16512,213,150,-365
-722,-1980,16534,216,150,-365
-228,-1338,16668,211,159,-360
20,-920,16699,208,155,-358
125,-694,16417,220,156,-369
122,-636,16576,219,155,-360
91,-190,16430,215,156,-366
-388,-455,15949,221,155,-372
-824,-891,15824,220,151,-356
-915,-796,15616,217,156,-361
-1176,-743,15551,212,156,-369
-1488,-661,15614,221,152,-360
-1572,-588,15113,219,147,-375
-47,373,17130,215,151,-369
-168,-377,16194,212,151,-366
-351,-77,16496,213,155,-367
-815,45,16474,217,151,-366
-814,276,16023,208,152,-360
-950,-1015,15819,215,151,-369
-659,126,16284,212,151,-356
-1148,-831,15663,213,152,-360
-689,-636,16311,211,157,-375
309,-2441,16682,210,148,-361
-77,-1158,16775,189,158,-366
581,-1203,16988,198,167,-367
-93,-1586,16777,211,155,-367
243,-1766,16549,204,156,-364
105,-1947,16937,211,157,-365
131,-1625,16544,212,148,-371
-316,-1444,16407,206,157,-365
-272,-1534,16314,215,141,-364
148,-2212,15943,221,155,-363
-26,-926,16095,223,153,-366
1006,-448,16314,220,136,-364
2013,182,16243,230,144,-369
1224,-1075,16228,230,136,-364
503,-1702,16214,247,125,-370
1048,-1275,16521,241,124,-371
1055,-1230,16334,233,122,-371
1723,-989,16919,250,121,-377
1962,-1364,16490,237,116,-377
1559,-1115,16578,250,111,-375
1174,-1025,16821,250,123,-372
1956,-936,16555,258,99,-375
1469,-1783,16585,266,104,-375
1095,-1859,16299,262,100,-369
378,-1202,16018,272,102,-366
-14,-1695,15751,272,93,-374
405,-2247,16339,280,98,-366
285,-1760,16649,285,90,-374
-13,-1776,15816,289,82,-370
466,-1327,16011,293,69,-359
43,-1312,16515,302,67,-367
290,-304,16831,290,59,-371
-409,931,16792,306,49,-361
-919,911,16019,303,47,-364
-1131,-863,16183,317,42,-359
-1852,-2330,16361,306,27,-356
-1165,-2090,17032,303,20,-364
-697,-1621,16532,303,18,-364
-675,-594,16267,314,20,-364
-295,-282,16387,313,-2,-363
-269,-560,16918,300,0,-377
-1706,-2626,16285,301,-15,-371
-778,-1458,16836,303,-27,-374
-681,-835,16663,284,-29,-370
-108,91,16508,290,-30,-366
1411,-129,15763,284,-38,-377
1355,-240,16424,280,-44,-379
260,-201,16649,276,-50,-385
-601,-314,16965,275,-54,-383
-1288,-96,16261,280,-64,-374
-621,-1110,16137,273,-67,-372
596,-1234,16205,276,-67,-370
101,-1539,15800,271,-60,-365
133,-78,16615,259,-71,-364
-1207,-243,16914,264,-78,-379
-1204,-819,16773,262,-83,-371
